"","time","device","location","lat","long","CGDD","Cl","ET","GDD","LfAirDelta","NDVI","SWdw","maxT","meanT","minT","prate","precip","SLP","Kc","ETc","mean_tbelow","lfw","crop_water_demand","sunshine_duration","datetime"
"171",2018-06-08,"A000667","5b1aae2ef2a0ff00019bedf1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407426,0.407425,NA,NA,NA,NA,NA,NA,NA,2018-06-08
"170",2018-06-09,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,10.1078,0.332889,5.45926,10.1078,6.869,0.139885,26.4322,25.0736,19.7842,15.1419,NA,NA,1018.89443877,0.03131227,0.17094176,NA,NA,NA,NA,2018-06-09
"169",2018-06-10,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,18.2523,0.328342,3.83778,8.14455,5.46245,0.134242,18.4752,21.7469,17.6615,14.5422,NA,NA,1017.44032597,0.02309044,0.08861606,NA,NA,NA,NA,2018-06-10
"168",2018-06-11,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,24.7997,0.343135,4.42335,6.54733,10.0939,0.143119,23.6024,21.5255,15.379,11.5691,NA,NA,1017.52925579,0.03602429,0.1593481,NA,NA,NA,NA,2018-06-11
"167",2018-06-12,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,29.9957,0.344353,5.36024,5.19604,8.0817,0.144184,29.835,20.3964,15.2405,9.99566,0.774057,0.774057,1020.86937682,0.03757589,0.20141564,NA,NA,NA,NA,2018-06-12
"166",2018-06-13,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,36.1627,0.315603,1.17318,6.16703,3.4014,0.143336,10.034,19.5901,16.5935,12.744,0.277344,0.277344,1013.89917084,0.03634014,0.04263342,NA,NA,NA,NA,2018-06-13
"165",2018-06-14,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,44.8426,0.338648,4.86086,8.67985,7.7816,0.154302,25.8497,21.1785,18.9635,16.1812,0.182917,0.182917,1005.33467345,0.0523186,0.2543132,NA,NA,NA,NA,2018-06-14
"164",2018-06-15,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,50.8535,0.404766,1.37656,6.01093,2.5483,0.206183,9.51668,18.5318,15.4196,13.4901,0.400483,0.400483,1012.08233866,0.12790904,0.17607431,NA,NA,NA,NA,2018-06-15
"163",2018-06-16,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,60.0473,0.337974,5.43129,9.19384,7.17205,0.154803,27.6026,26.35,19.2966,12.0377,NA,NA,1015.19543711,0.05304772,0.28811778,NA,NA,NA,NA,2018-06-16
"162",2018-06-17,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,72.8871,0.329259,6.56141,12.8397,8.332,0.154947,30.7685,29.586,23.4117,16.0935,NA,NA,1017.35185119,0.05325768,0.34944566,NA,NA,NA,NA,2018-06-17
"161",2018-06-18,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,85.3126,0.334956,4.12259,12.4256,6.23175,0.182834,23.254,26.7699,22.0018,18.0812,7.05485,7.05484,1014.23498433,0.09388945,0.38706759,NA,NA,NA,NA,2018-06-18
