"","time","device","location","lat","long","CGDD","Cl","ET","GDD","LfAirDelta","NDVI","SWdw","maxT","meanT","minT","prate","precip","SLP","Kc","ETc","mean_tbelow","lfw","crop_water_demand","sunshine_duration","datetime"
"172",2018-06-09,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,9.28095,0.328725,5.15288,9.28095,7.67885,0.163776,26.0839,23.5271,19.659,15.0348,NA,NA,1018.58618743,0.06612137,0.34071561,NA,NA,NA,NA,2018-06-09
"171",2018-06-10,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,17.3406,0.334573,3.66338,8.05967,5.6838,0.157621,18.228,21.7685,17.6301,14.3508,0.0225813,0.0225813,1017.46154003,0.05715448,0.20937852,NA,NA,NA,NA,2018-06-10
"170",2018-06-11,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,23.4787,0.340657,4.12667,6.13807,10.8069,0.164876,23.383,20.8388,14.9726,11.4374,0.00024775,0.00024775,1017.71335566,0.06772374,0.27947339,NA,NA,NA,NA,2018-06-11
"169",2018-06-12,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,28.6113,0.342335,4.95487,5.13263,9.3214,0.164032,29.1597,20.3512,15.0875,9.91409,1.30963,1.30963,1021.12310483,0.066494,0.32946925,NA,NA,NA,NA,2018-06-12
"168",2018-06-13,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,34.6434,0.35567,1.10503,6.03204,3.92065,0.173436,10.2178,19.4219,16.4584,12.6422,0.307063,0.307063,1014.24901476,0.08019594,0.08861883,NA,NA,NA,NA,2018-06-13
"167",2018-06-14,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,43.1721,0.342819,4.34579,8.52876,7.23965,0.183158,24.8061,21.0133,18.6961,16.0442,3.94584,3.94584,1005.53280635,0.09436065,0.41007177,NA,NA,NA,NA,2018-06-14
"166",2018-06-15,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,49.0702,0.387713,0.983673,5.89808,2.90865,0.219633,8.31608,18.6851,15.0473,13.1111,0.433919,0.433919,1012.19232524,0.14750583,0.14509756,NA,NA,NA,NA,2018-06-15
"165",2018-06-16,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,58.582,0.307888,5.03319,9.51183,7.67155,0.174043,27.5314,26.8798,19.4386,12.1439,0.00729783,0.00729783,1015.11095834,0.0810813,0.40809777,NA,NA,NA,NA,2018-06-16
"164",2018-06-17,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,73.4582,0.273583,5.83236,14.8762,7.3773,0.173933,29.3164,32.5273,23.8939,17.2251,NA,NA,1017.29711313,0.08092077,0.47195905,NA,NA,NA,NA,2018-06-17
"163",2018-06-18,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,86.319,0.305937,3.72237,12.8608,5.8015,0.204127,22.2257,27.7752,22.3557,17.9464,6.90279,6.90279,1014.19730285,0.12491242,0.46496974,NA,NA,NA,NA,2018-06-18
"162",2018-06-19,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,97.5239,0.350816,5.14873,11.2049,6.11,0.261092,28.7145,23.9391,20.8233,18.4706,9.11293,9.11293,1007.69551235,0.20791175,1.07048179,NA,NA,NA,NA,2018-06-19
"161",2018-06-20,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,107.047,0.343374,4.207,9.52317,6.56605,0.262593,22.4175,23.8648,19.9122,15.1815,0.00341002,0.00341002,1011.46972752,0.21009765,0.88388161,NA,NA,NA,NA,2018-06-20
"160",2018-06-21,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,119.306,0.330373,5.08565,12.2588,7.75385,0.262606,27.534,28.0915,20.6371,16.4262,0.547451,0.547451,1008.56027731,0.21011763,1.06858384,NA,NA,NA,NA,2018-06-21
"159",2018-06-22,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,127.843,0.359355,4.72072,8.5367,8.8499,0.290306,26.9313,23.5243,17.4904,13.5491,NA,NA,1015.81112779,0.25047654,1.18243033,NA,NA,NA,NA,2018-06-22
"158",2018-06-23,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,132.661,0.398138,0.741488,4.81883,3.85115,0.334024,6.80989,16.3094,14.1174,13.3283,0.0292387,0.0292387,1015.23249489,0.31417289,0.23295553,NA,NA,NA,NA,2018-06-23
"157",2018-06-24,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,140.193,0.370792,2.29422,7.5317,7.9095,0.345681,16.7283,21.859,17.5218,13.2044,5.79304,5.79304,1010.44347788,0.33115692,0.7597473,NA,NA,NA,NA,2018-06-24
"156",2018-06-25,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,147.976,0.390752,4.04675,7.78296,7.1645,0.390492,24.0588,21.0814,18.0254,14.4846,0.505912,0.505912,1012.70373766,0.39644632,1.60432052,NA,NA,NA,NA,2018-06-25
"155",2018-06-26,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,155.545,0.331067,5.50039,7.56937,9.06595,0.353425,29.8325,23.7197,17.9769,11.419,NA,NA,1023.24685242,0.34244014,1.8835531,NA,NA,NA,NA,2018-06-26
"154",2018-06-27,"A000671","5b1a96b0f2a0ff00019bedd6",42.1209,-71.8069,163.153,0.374318,2.75093,7.60798,7.4042,0.423986,17.32,20.6325,17.5448,14.5835,0.0320085,0.0320085,1019.99264694,0.44524755,1.22484557,NA,NA,NA,NA,2018-06-27
"153",2018-06-28,"A000671","5b1a96b0f2a0ff00019bedd6",42.1209,-71.8069,172.773,0.441246,0.106988,9.61924,2.2693,0.528792,6.21949,22.1033,20.114,17.1352,39.8231,39.8231,1011.35235969,0.59795018,0.06397345,NA,NA,NA,NA,2018-06-28
"152",2018-06-29,"A000671","5b1a96b0f2a0ff00019bedd6",42.1209,-71.8069,186.453,0.379701,5.96328,13.6805,5.44425,0.54257,30.2204,28.3112,23.282,19.0498,0.828425,0.828425,1011.60390798,0.61802488,3.68545527,NA,NA,NA,NA,2018-06-29
"151",2018-06-30,"A000671","5b1a96b0f2a0ff00019bedd6",42.1209,-71.8069,202.101,0.366138,5.75312,15.6482,5.75345,0.569911,27.2931,29.6659,25.3544,21.6305,NA,NA,1016.53634882,0.65786105,3.7847555,NA,NA,NA,NA,2018-06-30
