"","time","device","location","lat","long","B1dw","B1uw","B2dw","B2uw","B3dw","B3uw","B4dw","B4uw","B5dw","B5uw","B6dw","B6uw","B7dw","B7uw","LWdw","LWuw","LfW","P","SLP","PARdw","PARuw","RH","SWdw","SWuw","Tabove","Tair","Tbelow","Tdew","prate","precip","datetime"
"4059",2018-06-09 02:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0605875,0.0410465,0.0453215,0.0290943,0.0580143,0.0413091,0.0808006,0.0813194,0.0333742,0.0361912,0.11263,0.0948196,0.0113328,0.0126297,356.617,-423.57,NA,989.27497864,1018.92171845,1.64961,-2.35763,62.18340993,1.22685,-2.45655,8.40189,20.4311,20.7912,12.9279,NA,NA,2018-06-09 02:00:00
"4058",2018-06-09 03:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0569422,0.0392818,0.0420608,0.0263567,0.0531192,0.0416248,0.0846087,0.0712535,0.0296659,0.0363403,0.103637,0.0975572,0.0111457,0.0121932,355.381,-420.044,NA,989.10835266,1018.81221968,1.67763,-2.3412,60.96984744,1.24769,-2.43942,8.16077,19.8252,20.178,12.0545,NA,NA,2018-06-09 03:00:00
"4057",2018-06-09 04:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0542918,0.0393908,0.0400584,0.0255423,0.0538185,0.0397333,0.0892447,0.0638929,0.0298236,0.0355201,0.100732,0.0866068,0.0107702,0.011177,346.603,-415.157,NA,988.93333435,1018.70273995,1.71366,-2.20378,70.01522779,1.27449,-2.29625,6.41478,19.1391,19.3201,13.4909,NA,NA,2018-06-09 04:00:00
"4056",2018-06-09 05:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0516388,0.0403836,0.0398089,0.0262084,0.0489276,0.0403648,0.0852698,0.0638955,0.0281668,0.0330637,0.100728,0.0881019,0.0103685,0.011032,340.301,-407.408,NA,989.08332825,1019.05889635,1.69363,-2.0774,80.48503399,1.25959,-2.16456,5.13575,17.2015,17.9463,13.7845,NA,NA,2018-06-09 05:00:00
"4055",2018-06-09 06:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0509774,0.0390609,0.0353024,0.0259861,0.0527719,0.0384718,0.0882521,0.065635,0.0291147,0.0326153,0.10628,0.0836234,0.00956455,0.011976,339.058,-406.998,NA,989.16366577,1019.15150808,1.64672,-2.10437,73.61698151,1.2247,-2.19266,4.88174,17.1068,17.8732,12.3457,NA,NA,2018-06-09 06:00:00
"4054",2018-06-09 07:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0509774,0.0393923,0.0350517,0.02532,0.0559164,0.0409934,0.0773309,0.0650587,0.0276938,0.0337337,0.0999381,0.0918363,0.00996657,0.011032,336.3,-404.336,NA,989.28337097,1019.33250724,1.6616,-2.07195,66.91893935,1.23577,-2.15888,4.31422,16.5577,17.3961,10.3699,NA,NA,2018-06-09 07:00:00
"4053",2018-06-09 08:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0526316,0.041048,0.0340489,0.0235429,0.0510255,0.0378418,0.0812946,0.0691219,0.0291137,0.0330627,0.0920039,0.0836234,0.010208,0.0122657,332.391,-400.363,NA,989.5249939,1019.67046332,1.68162,-2.04991,66.11097455,1.25066,-2.13592,3.50453,15.7156,16.6794,9.39568,NA,NA,2018-06-09 08:00:00
"4052",2018-06-09 09:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.36182,0.0427037,0.481007,0.0297625,0.497022,0.0520368,0.461508,0.0888827,0.32117,0.0703773,0.513949,0.12097,0.0787674,0.0205386,330.936,-397.914,NA,989.70832825,1019.92920202,24.2673,-4.6437,61.2002492,18.0482,-4.83853,3.20114,15.0581,16.235,7.61401,NA,NA,2018-06-09 09:00:00
"4051",2018-06-09 10:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,2.33178,0.181731,3.04153,0.242091,3.03758,0.398912,2.77081,0.684266,1.83724,0.551977,2.76214,0.841433,0.386467,0.135929,339.757,-408.338,NA,990.06668091,1020.18691944,120.832,-22.3074,52.14928389,89.8655,-23.2434,5.02294,16.1096,18.1103,6.28764,NA,NA,2018-06-09 10:00:00
"4050",2018-06-09 11:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,5.49516,0.414701,8.75461,0.490529,9.23266,0.800235,9.52606,1.39412,5.54739,1.03551,7.95808,1.47705,1.26201,0.267787,351.199,-421.777,NA,990.41664124,1020.46222991,322.793,-43.4809,49.30130839,240.069,-45.3052,7.33095,16.9203,20.4718,6.21762,NA,NA,2018-06-09 11:00:00
