"","time","device","location","lat","long","B1dw","B1uw","B2dw","B2uw","B3dw","B3uw","B4dw","B4uw","B5dw","B5uw","B6dw","B6uw","B7dw","B7uw","LWdw","LWuw","LfW","P","SLP","PARdw","PARuw","RH","SWdw","SWuw","Tabove","Tair","Tbelow","Tdew","prate","precip","datetime"
"4073",2018-06-06 17:00:00,"A000671","5b1821940cdb4000019d013c",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384.591,-444.61,NA,994.40002441,666.67431663,4.90034,-3.88983,44.93469894,3.64449,-4.05303,13.7815,25.2188,24.3767,12.4119,NA,NA,2018-06-06 17:00:00
"4071",2018-06-06 18:00:00,"A000671","5b1a87cb6fdbf300016247fa",42.1216,-71.8062,0.146534,0.0573781,0.266061,0.0376105,0.330839,0.0582447,0.332127,0.105729,0.165846,0.0388726,0.226829,0.134413,0.0386845,0.0140354,380.93,-450.142,NA,994.36668396,1023.73879938,10.5303,-3.1995,42.4636662,7.83162,-3.33374,13.0904,25.638,25.2916,11.842,NA,NA,2018-06-06 18:00:00
"4072",2018-06-06 18:00:00,"A000671","5b1821940cdb4000019d013c",0,0,0.153217,0.0569368,0.275122,0.0375683,0.34209,0.0585759,0.341892,0.106562,0.175967,0.0394487,0.23838,0.133556,0.0409194,0.0141047,380.392,-449.076,NA,994.35714722,666.79770279,10.8793,-3.19479,42.35192835,8.0912,-3.32883,12.9897,25.394,25.1146,11.5957,NA,NA,2018-06-06 18:00:00
"4070",2018-06-08 13:00:00,"A000671","5b1a87cb6fdbf300016247fa",42.1216,-71.8062,14.327,0.826173,22.2215,2.02325,25.1271,2.31775,28.3939,4.1959,17.376,2.63432,20.1638,4.12103,0.516693,0.699923,359.054,-448.509,NA,991.44996643,1021.12942336,845.915,-117.49,57.18809962,629.126,-122.42,8.89227,21.7303,25.0271,12.8801,0.0287643,0.0287643,2018-06-08 13:00:00
"4069",2018-06-08 14:00:00,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,14.4746,1.09847,22.909,1.90532,25.8916,2.01724,30.5641,3.87938,18.4683,2.44243,20.2047,3.53794,0.0162902,0.582487,372.554,-459.974,NA,990.86669922,1020.69007757,859.58,-116.875,56.56179786,639.29,-121.778,11.4723,21.995,26.9127,12.9215,NA,NA,2018-06-08 14:00:00
"4068",2018-06-08 15:00:00,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,18.391,0.685997,28.6966,1.59224,31.7209,1.73442,38.858,3.68957,22.9536,2.51436,23.7299,3.59972,0.657874,0.618928,345.491,-469.466,NA,990.37498474,1020.24055585,1085.81,-99.832,52.13217735,807.542,-104.021,6.17333,21.4453,28.4466,11.2071,NA,NA,2018-06-08 15:00:00
"4067",2018-06-08 16:00:00,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,18.0986,0.564979,27.3577,1.47871,29.9463,1.63009,36.6842,3.43624,22.6222,2.21628,23.7931,3.10327,3.84395,0.539222,335.578,-473.088,NA,989.30831909,1019.21259566,1203.45,-105.802,50.10694861,895.036,-110.241,4.15726,20.7494,29.0299,9.97198,NA,NA,2018-06-08 16:00:00
"4066",2018-06-08 17:00:00,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,15.4388,0.518362,22.9576,1.33064,25.3132,1.48537,29.6257,2.99783,18.1257,1.91041,19.7501,2.79209,0.0179205,0.474884,347.066,-461.691,NA,988.76365662,1018.54862974,810.341,-78.8825,49.23880994,602.669,-82.1921,6.50671,21.7478,27.1936,10.6316,NA,NA,2018-06-08 17:00:00
"4065",2018-06-08 18:00:00,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,17.7034,0.599352,27.2219,1.62548,29.7771,1.80679,36.0074,3.76087,21.7647,2.40474,23.44,3.46264,0.018644,0.592943,333.043,-470.065,NA,988.21662903,1017.97214029,1014.05,-101.97,49.49449897,754.173,-106.249,3.62838,21.8746,28.5471,10.826,NA,NA,2018-06-08 18:00:00
"4064",2018-06-08 19:00:00,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,13.4695,0.48805,20.4344,1.31398,22.3805,1.4674,26.6766,3.02025,16.2621,1.9377,17.8348,2.81621,0.0180032,0.472367,337.434,-468.308,NA,987.70835876,1017.38670157,780.88,-84.1845,48.57975841,580.758,-87.7165,4.53855,22.4803,28.2631,11.0989,NA,NA,2018-06-08 19:00:00
"4063",2018-06-08 20:00:00,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,9.72111,0.382932,14.1456,0.958011,15.554,1.06855,17.9144,2.14702,10.7276,1.34939,11.9192,1.99315,0.0165282,0.329119,336.72,-469.073,NA,987.42500305,1017.05557496,644.613,-74.7526,48.65980744,479.414,-77.8889,4.39669,22.8661,28.3873,11.4762,NA,NA,2018-06-08 20:00:00
"4062",2018-06-08 21:00:00,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,3.65917,0.148964,5.1372,0.369757,5.85932,0.425706,6.10674,0.787076,4.12144,0.52666,5.06838,0.85934,0.500929,0.128328,365.649,-450.077,NA,987.50831604,1017.09612782,168.697,-19.9334,48.97166789,125.463,-20.7697,10.1779,23.3122,25.2856,11.9816,NA,NA,2018-06-08 21:00:00
"4061",2018-06-08 22:00:00,"A000671","5b1a96b0f2a0ff00019bedd6",42.1207,-71.8069,3.21586,0.121159,4.46375,0.340615,5.0963,0.398376,5.2457,0.76612,3.32158,0.503513,4.06753,0.842192,0.689654,0.127909,359.525,-446.113,NA,987.54997253,1017.12998903,167.465,-22.0281,51.78786516,124.547,-22.9523,8.98453,23.4018,24.6276,12.9154,NA,NA,2018-06-08 22:00:00
