"","time","device","location","lat","long","B1dw","B1uw","B2dw","B2uw","B3dw","B3uw","B4dw","B4uw","B5dw","B5uw","B6dw","B6uw","B7dw","B7uw","LWdw","LWuw","LfW","P","SLP","PARdw","PARuw","RH","SWdw","SWuw","Tabove","Tair","Tbelow","Tdew","prate","precip","datetime"
"4077",2018-06-08 16:00:00,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,16.8142,1.22248,29.4741,1.56566,28.6994,1.41971,35.2769,3.37937,22.2516,2.31713,23.315,3.18391,3.94587,0.622334,362.316,-464.795,NA,991.02859497,1019.89821867,953.984,-79.5078,48.22382927,709.499,-82.8436,9.46377,23.1091,27.6915,11.5564,0.407426,0.407425,2018-06-08 16:00:00
"4076",2018-06-08 17:00:00,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,16.0564,0.812765,26.687,1.37622,25.8476,1.40069,31.3064,3.26456,19.7707,2.07024,20.4128,2.85224,3.25781,0.499922,345.055,-465.45,NA,990.35003662,1019.25871319,855.536,-69.22,47.89333344,636.281,-72.1241,6.09408,22.5053,27.8034,10.9058,NA,NA,2018-06-08 17:00:00
"4075",2018-06-08 18:00:00,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,19.8423,1.01961,34.5868,1.82109,32.8236,1.83928,42.1802,4.49727,26.2708,2.85556,26.2966,3.8108,4.28827,0.685257,325.252,-473.479,NA,989.79164124,1018.6578523,1069.9,-90.4674,48.17453325,795.711,-94.263,1.987,22.7699,29.0931,11.2353,NA,NA,2018-06-08 18:00:00
"4074",2018-06-08 19:00:00,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,17.0794,0.920631,30.1498,1.68382,28.7614,1.71614,36.4726,4.1544,22.9593,2.65486,23.6219,3.60386,3.78383,0.639873,332.814,-471.941,NA,989.23332214,1018.03884719,836.148,-75.5555,47.6206243,621.862,-78.7254,3.57879,23.2203,28.8473,11.4671,NA,NA,2018-06-08 19:00:00
"4073",2018-06-08 20:00:00,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,12.712,0.735179,22.4608,1.3639,21.701,1.39553,27.0877,3.35788,16.7404,2.17303,17.5587,2.99495,2.75337,0.516404,335.212,-469.332,NA,988.79997253,1017.57835115,665.569,-64.3492,48.04055691,494.999,-67.049,4.08316,23.3678,28.429,11.7331,NA,NA,2018-06-08 20:00:00
"4072",2018-06-08 21:00:00,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,3.00293,0.169483,4.48806,0.2794,4.6079,0.290415,4.85196,0.63084,3.46496,0.424866,4.11325,0.67123,0.576573,0.0989176,366.353,-451.912,NA,988.74168396,1017.48025836,174.478,-16.9652,48.82670939,129.763,-17.677,10.3135,23.7535,25.5889,12.3379,NA,NA,2018-06-08 21:00:00
"4071",2018-06-08 22:00:00,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,2.96091,0.168489,4.49683,0.304074,4.64289,0.321644,4.90091,0.718553,3.35401,0.479078,3.98655,0.746596,0.599838,0.117867,359.692,-445.313,NA,988.8583374,1017.65109058,177.263,-19.7573,51.87972784,131.834,-20.5862,9.01751,23.2372,24.494,12.7908,NA,NA,2018-06-08 22:00:00
"4070",2018-06-08 23:00:00,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,1.48135,0.0896978,2.00269,0.144153,2.05241,0.152311,2.02182,0.335736,1.39633,0.222519,1.69385,0.362119,0.239854,0.0505867,348.028,-438.141,NA,989.25384521,1018.10693063,73.9348,-9.54263,54.83847857,54.9869,-9.94301,6.70256,22.7438,23.2843,13.1707,NA,NA,2018-06-08 23:00:00
"4069",2018-06-09 00:00:00,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,0.107264,0.0573781,0.0948173,0.041465,0.101115,0.0601382,0.0991402,0.106903,0.0662722,0.0440985,0.135383,0.10453,0.0157532,0.0123879,343.181,-420.755,NA,989.64164734,1018.72038768,6.44228,-2.979,61.06475592,4.79127,-3.10399,5.71995,20.5936,20.3008,12.8167,NA,NA,2018-06-09 00:00:00
"4068",2018-06-09 01:00:00,"A000667","5b1aae2ef2a0ff00019bedf1",42.123,-71.8054,0.0551726,0.0573761,0.038723,0.0396887,0.0573139,0.0571913,0.0799734,0.0991345,0.0435581,0.0420108,0.113157,0.110501,0.0129673,0.0124839,348.257,-417.401,NA,989.95002747,1019.09045424,1.76568,-2.92417,61.00676656,1.31318,-3.04686,6.74339,20.0706,19.7152,12.286,NA,NA,2018-06-09 01:00:00
