"","time","NDVI","SWdw","PAR"
"1",2018-06-09,0.163776,26.0839,13.04195
"2",2018-06-10,0.157621,18.228,9.114
"3",2018-06-11,0.164876,23.383,11.6915
"4",2018-06-12,0.164032,29.1597,14.57985
"5",2018-06-13,0.173436,10.2178,5.1089
"6",2018-06-14,0.183158,24.8061,12.40305
"7",2018-06-15,0.219633,8.31608,4.15804
"8",2018-06-16,0.174043,27.5314,13.7657
"9",2018-06-17,0.173933,29.3164,14.6582
"10",2018-06-18,0.204127,22.2257,11.11285
"11",2018-06-19,0.261092,28.7145,14.35725
"12",2018-06-20,0.262593,22.4175,11.20875
"13",2018-06-21,0.262606,27.534,13.767
"14",2018-06-22,0.290306,26.9313,13.46565
"15",2018-06-23,0.334024,6.80989,3.404945
"16",2018-06-24,0.345681,16.7283,8.36415
"17",2018-06-25,0.390492,24.0588,12.0294
"18",2018-06-26,0.353425,29.8325,14.91625
"19",2018-06-27,0.423986,17.32,8.66
"20",2018-06-28,0.528792,6.21949,3.109745
"21",2018-06-29,0.54257,30.2204,15.1102
"22",2018-06-30,0.569911,27.2931,13.64655
"23",2018-07-01,0.599368,27.4532,13.7266
"24",2018-07-02,0.616987,28.5753,14.28765
"25",2018-07-03,0.639203,26.8587,13.42935
"26",2018-07-04,0.662736,29.6157,14.80785
"27",2018-07-05,0.698079,28.1032,14.0516
"28",2018-07-06,0.737249,10.7114,5.3557
"29",2018-07-07,0.742883,30.3545,15.17725
"30",2018-07-08,0.742324,30.4043,15.20215
"31",2018-07-09,0.751342,30.1476,15.0738
"32",2018-07-10,0.757926,29.3056,14.6528
"33",2018-07-11,0.755237,22.4056,11.2028
"34",2018-07-12,0.770965,31.0139,15.50695
"35",2018-07-13,0.77187,24.327,12.1635
"36",2018-07-14,0.763651,17.1714,8.5857
"37",2018-07-15,0.784419,23.9498,11.9749
"38",2018-07-16,0.788671,22.2581,11.12905
"39",2018-07-17,0.792281,15.8644,7.9322
"40",2018-07-18,0.801966,28.7175,14.35875
"41",2018-07-19,0.80732,29.9539,14.97695
"42",2018-07-20,0.810697,29.9078,14.9539
"43",2018-07-21,0.812907,27.9872,13.9936
"44",2018-07-22,0.795411,10.5897,5.29485
"45",2018-07-23,0.812513,19.821,9.9105
"46",2018-07-24,0.818695,20.6125,10.30625
"47",2018-07-25,0.80372,12.0995,6.04975
"48",2018-07-26,0.820769,12.5193,6.25965
"49",2018-07-27,0.831871,21.6424,10.8212
"50",2018-07-28,0.834279,22.3137,11.15685
