system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,QA10,QA20,QA60,date,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,2081.0,680.0,2195.0,1563.0,1840.0,1726.0,1621.0,1893.0,2798.0,3271.0,3259.0,3546.0,1661.0,0.33565574884414673,0.0,0.0,2048.0,2018-06-09T15:38:11,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,2051.0,656.0,2194.0,1562.0,1835.0,1724.0,1616.0,1889.0,2801.0,3258.0,3236.0,3545.0,1671.0,0.3338829278945923,0.0,0.0,2048.0,2018-06-09T15:38:11,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1369.0,37.0,3080.0,2551.0,1188.0,1199.0,1358.0,1526.0,1879.0,2151.0,2127.0,2387.0,852.0,0.22065997123718262,0.0,0.0,0.0,2018-06-12T15:49:19,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1357.0,38.0,3080.0,2554.0,1190.0,1186.0,1335.0,1511.0,1856.0,2125.0,2120.0,2366.0,815.0,0.22720694541931152,0.0,0.0,0.0,2018-06-12T15:49:19,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,3586.0,80.0,4503.0,4002.0,3749.0,3106.0,2966.0,3423.0,4369.0,5077.0,5174.0,5384.0,2506.0,0.2712530791759491,0.0,0.0,1024.0,2018-06-14T15:39:24,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,3632.0,72.0,4448.0,3870.0,3811.0,3237.0,3071.0,3433.0,4339.0,4991.0,5264.0,5240.0,2539.0,0.26310738921165466,0.0,0.0,1024.0,2018-06-14T15:39:24,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1365.0,18.0,3142.0,2555.0,1183.0,1188.0,1375.0,1555.0,1859.0,2128.0,2027.0,2396.0,736.0,0.19165197014808655,0.0,0.0,0.0,2018-06-17T15:40:39,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1348.0,19.0,3134.0,2552.0,1186.0,1173.0,1360.0,1542.0,1845.0,2115.0,2025.0,2373.0,731.0,0.1964549422264099,0.0,0.0,0.0,2018-06-17T15:40:39,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1252.0,10.0,2374.0,1731.0,991.0,919.0,963.0,1166.0,1473.0,1675.0,1631.0,1905.0,691.0,0.25751733779907227,0.0,0.0,0.0,2018-06-19T15:35:55,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1249.0,11.0,2360.0,1718.0,983.0,913.0,944.0,1134.0,1450.0,1647.0,1610.0,1858.0,699.0,0.2607674300670624,0.0,0.0,0.0,2018-06-19T15:35:55,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1869.0,597.0,1821.0,1315.0,1563.0,1461.0,1341.0,1577.0,2321.0,2688.0,2632.0,2872.0,1428.0,0.3249433636665344,0.0,0.0,2048.0,2018-06-22T15:45:00,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1853.0,607.0,1816.0,1315.0,1552.0,1446.0,1342.0,1572.0,2320.0,2690.0,2635.0,2857.0,1395.0,0.3251194357872009,0.0,0.0,2048.0,2018-06-22T15:45:00,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,7522.0,20.0,6398.0,4662.0,7279.0,7050.0,7596.0,7350.0,7801.0,8337.0,7382.0,8603.0,1542.0,-0.014287621714174747,0.0,0.0,1024.0,2018-06-24T15:37:20,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,7490.0,20.0,6370.0,4668.0,7301.0,7042.0,7555.0,7300.0,7749.0,8288.0,7396.0,8565.0,1546.0,-0.010634739883244038,0.0,0.0,1024.0,2018-06-24T15:37:20,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1645.0,108.0,2736.0,1957.0,1427.0,1372.0,1317.0,1662.0,2618.0,3027.0,2944.0,3360.0,1049.0,0.3818352520465851,0.0,0.0,2048.0,2018-06-27T15:46:48,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1630.0,106.0,2728.0,1954.0,1416.0,1359.0,1289.0,1650.0,2619.0,3032.0,2955.0,3362.0,1045.0,0.3925541937351227,0.0,0.0,2048.0,2018-06-27T15:46:48,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
