system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,QA10,QA20,QA60,date,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,2062.0,674.0,2172.0,1556.0,1849.0,1722.0,1638.0,1887.0,2783.0,3230.0,3273.0,3466.0,1653.0,0.33292609453201294,0.0,0.0,2048.0,2018-06-09T15:38:11,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,2059.0,682.0,2179.0,1567.0,1857.0,1728.0,1651.0,1894.0,2805.0,3242.0,3303.0,3455.0,1645.0,0.33346790075302124,0.0,0.0,2048.0,2018-06-09T15:38:11,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1396.0,37.0,2937.0,2441.0,1238.0,1218.0,1382.0,1506.0,1820.0,2096.0,2122.0,2327.0,828.0,0.2111872136592865,0.0,0.0,0.0,2018-06-12T15:49:19,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1381.0,38.0,2953.0,2460.0,1228.0,1215.0,1402.0,1516.0,1842.0,2113.0,2103.0,2360.0,811.0,0.20000000298023224,0.0,0.0,0.0,2018-06-12T15:49:19,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,4245.0,95.0,5226.0,4739.0,3766.0,3645.0,3727.0,4215.0,5207.0,5777.0,5360.0,6095.0,2979.0,0.17970727384090424,0.0,0.0,1024.0,2018-06-14T15:39:24,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,3956.0,86.0,5083.0,4583.0,3711.0,3651.0,3786.0,4069.0,5043.0,5609.0,5346.0,5937.0,2812.0,0.17082785069942474,0.0,0.0,1024.0,2018-06-14T15:39:24,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1393.0,18.0,2969.0,2430.0,1244.0,1230.0,1383.0,1523.0,1830.0,2073.0,2013.0,2269.0,715.0,0.18551236391067505,0.0,0.0,0.0,2018-06-17T15:40:39,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1381.0,19.0,2991.0,2446.0,1231.0,1227.0,1383.0,1543.0,1860.0,2089.0,2044.0,2281.0,711.0,0.1928800642490387,0.0,0.0,0.0,2018-06-17T15:40:39,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1263.0,11.0,2260.0,1663.0,1008.0,920.0,952.0,1113.0,1387.0,1605.0,1614.0,1815.0,667.0,0.2579890787601471,0.0,0.0,0.0,2018-06-19T15:35:55,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1249.0,11.0,2270.0,1672.0,1008.0,914.0,960.0,1124.0,1403.0,1603.0,1608.0,1817.0,650.0,0.25233644247055054,0.0,0.0,0.0,2018-06-19T15:35:55,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1908.0,622.0,1818.0,1316.0,1567.0,1492.0,1375.0,1620.0,2391.0,2769.0,2655.0,3005.0,1436.0,0.31761786341667175,0.0,0.0,2048.0,2018-06-22T15:45:00,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1928.0,611.0,1821.0,1314.0,1576.0,1473.0,1393.0,1617.0,2396.0,2769.0,2657.0,3015.0,1467.0,0.31209877133369446,0.0,0.0,2048.0,2018-06-22T15:45:00,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,7543.0,19.0,6570.0,4887.0,7613.0,7291.0,7673.0,7430.0,7816.0,8264.0,7730.0,8531.0,1554.0,0.003700577886775136,0.0,0.0,1024.0,2018-06-24T15:37:20,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,7661.0,19.0,6603.0,4892.0,7654.0,7367.0,7775.0,7485.0,7868.0,8312.0,7844.0,8583.0,1593.0,0.004417696502059698,0.0,0.0,1024.0,2018-06-24T15:37:20,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1656.0,109.0,2534.0,1792.0,1416.0,1391.0,1309.0,1613.0,2609.0,3037.0,2843.0,3285.0,1030.0,0.36946049332618713,0.0,0.0,2048.0,2018-06-27T15:46:48,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1637.0,111.0,2542.0,1788.0,1408.0,1379.0,1291.0,1622.0,2622.0,3047.0,2877.0,3313.0,1018.0,0.38051822781562805,0.0,0.0,2048.0,2018-06-27T15:46:48,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1224.0,10.0,1643.0,910.0,932.0,838.0,672.0,873.0,1541.0,1826.0,1729.0,1960.0,410.0,0.4402332305908203,0.0,0.0,0.0,2018-06-29T15:36:53,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1214.0,10.0,1669.0,931.0,935.0,848.0,666.0,890.0,1574.0,1861.0,1762.0,1992.0,407.0,0.4514003396034241,0.0,0.0,0.0,2018-06-29T15:36:53,"{""type"":""Point"",""coordinates"":[-71.8069,42.1209]}"
