system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,QA10,QA20,QA60,date,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,3588.0,87.0,3165.0,2697.0,2726.0,2469.0,2485.0,2786.0,3691.0,4245.0,3488.0,4518.0,919.0,0.16792231798171997,0.0,0.0,1024.0,2019-06-19T15:41:36,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,3933.0,85.0,3240.0,2742.0,2786.0,2474.0,2462.0,2873.0,3771.0,4314.0,3515.0,4569.0,1011.0,0.1761753410100937,0.0,0.0,1024.0,2019-06-19T15:41:36,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1278.0,66.0,1554.0,1113.0,1031.0,878.0,799.0,928.0,1407.0,1586.0,1474.0,1614.0,530.0,0.2969643771648407,0.0,0.0,0.0,2019-06-22T15:51:33,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1270.0,65.0,1566.0,1120.0,1025.0,886.0,802.0,936.0,1410.0,1594.0,1485.0,1613.0,530.0,0.2986445128917694,0.0,0.0,0.0,2019-06-22T15:51:33,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1456.0,22.0,2842.0,2313.0,1264.0,1225.0,1329.0,1467.0,1738.0,2015.0,1986.0,2251.0,664.0,0.19819004833698273,0.0,0.0,0.0,2019-06-24T15:41:41,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1456.0,21.0,2866.0,2339.0,1262.0,1239.0,1343.0,1497.0,1768.0,2034.0,1988.0,2259.0,668.0,0.19363553822040558,0.0,0.0,0.0,2019-06-24T15:41:41,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1300.0,16.0,2414.0,1921.0,1113.0,1068.0,1121.0,1246.0,1500.0,1683.0,1660.0,1874.0,536.0,0.1938151717185974,0.0,0.0,0.0,2019-06-27T15:51:38,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1286.0,16.0,2452.0,1948.0,1111.0,1079.0,1129.0,1278.0,1541.0,1741.0,1693.0,1904.0,542.0,0.19985826313495636,0.0,0.0,0.0,2019-06-27T15:51:38,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,3965.0,717.0,3426.0,2798.0,4722.0,4264.0,4020.0,3978.0,4534.0,4846.0,5578.0,4944.0,2593.0,0.16232548654079437,0.0,0.0,1024.0,2019-06-29T15:41:37,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,4052.0,711.0,3474.0,2856.0,4706.0,4308.0,4088.0,4063.0,4601.0,4890.0,5585.0,5024.0,2704.0,0.1547606736421585,0.0,0.0,1024.0,2019-06-29T15:41:37,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,6175.0,134.0,5471.0,4034.0,6329.0,6045.0,6222.0,6299.0,6878.0,7228.0,7163.0,7335.0,3395.0,0.0703025758266449,0.0,0.0,1024.0,2019-07-02T15:51:34,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,6220.0,159.0,5488.0,4051.0,6346.0,5993.0,6269.0,6314.0,6913.0,7249.0,7182.0,7362.0,3437.0,0.06787599623203278,0.0,0.0,1024.0,2019-07-02T15:51:34,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1605.0,129.0,2801.0,2164.0,1377.0,1324.0,1343.0,1531.0,2082.0,2427.0,2340.0,2662.0,658.0,0.2707032263278961,0.0,0.0,2048.0,2019-07-04T15:41:41,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1595.0,127.0,2816.0,2171.0,1376.0,1325.0,1340.0,1539.0,2104.0,2440.0,2332.0,2668.0,647.0,0.2701525092124939,0.0,0.0,2048.0,2019-07-04T15:41:41,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1201.0,10.0,1746.0,1196.0,943.0,835.0,765.0,875.0,1274.0,1527.0,1385.0,1650.0,362.0,0.28837209939956665,0.0,0.0,0.0,2019-07-07T15:51:38,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1196.0,10.0,1759.0,1199.0,942.0,831.0,770.0,884.0,1305.0,1557.0,1425.0,1682.0,367.0,0.2984054684638977,0.0,0.0,0.0,2019-07-07T15:51:38,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1449.0,44.0,2931.0,2307.0,1244.0,1223.0,1239.0,1494.0,2072.0,2316.0,2281.0,2554.0,906.0,0.2960227131843567,0.0,0.0,0.0,2019-07-09T15:41:37,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1437.0,45.0,2948.0,2312.0,1222.0,1215.0,1220.0,1499.0,2094.0,2360.0,2319.0,2599.0,930.0,0.31053969264030457,0.0,0.0,0.0,2019-07-09T15:41:37,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1385.0,11.0,1646.0,946.0,1055.0,901.0,722.0,885.0,1557.0,1857.0,1644.0,2017.0,306.0,0.3896872401237488,0.0,0.0,0.0,2019-07-12T15:51:35,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1367.0,12.0,1656.0,948.0,1046.0,901.0,694.0,879.0,1597.0,1890.0,1675.0,2069.0,320.0,0.4140987694263458,0.0,0.0,0.0,2019-07-12T15:51:35,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1397.0,12.0,2989.0,2157.0,1224.0,1212.0,1153.0,1363.0,2243.0,2687.0,2516.0,2958.0,513.0,0.37149086594581604,0.0,0.0,0.0,2019-07-14T15:41:41,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1399.0,12.0,2961.0,2131.0,1198.0,1204.0,1096.0,1351.0,2284.0,2738.0,2563.0,2990.0,569.0,0.40092921257019043,0.0,0.0,0.0,2019-07-14T15:41:41,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1552.0,77.0,2266.0,1414.0,1275.0,1220.0,1080.0,1302.0,2530.0,3289.0,2792.0,3639.0,581.0,0.44214877486228943,0.0,0.0,0.0,2019-07-17T15:51:38,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1579.0,82.0,2191.0,1371.0,1243.0,1169.0,1088.0,1321.0,2555.0,3293.0,2789.0,3635.0,616.0,0.4387412965297699,0.0,0.0,0.0,2019-07-17T15:51:38,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1448.0,13.0,2375.0,1306.0,1116.0,1093.0,879.0,1132.0,2440.0,3014.0,2677.0,3284.0,499.0,0.5056242942810059,0.0,0.0,0.0,2019-07-19T15:41:37,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1366.0,12.0,2353.0,1283.0,1068.0,1052.0,846.0,1099.0,2455.0,3038.0,2697.0,3345.0,477.0,0.5224385857582092,0.0,0.0,0.0,2019-07-19T15:41:37,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,5976.0,996.0,4777.0,4008.0,5744.0,5494.0,5712.0,5734.0,6100.0,6386.0,6273.0,6569.0,3570.0,0.04680851101875305,0.0,0.0,1024.0,2019-07-22T15:51:34,"{""type"":""Point"",""coordinates"":[-71.807,42.1209]}"
