system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,QA10,QA20,QA60,date,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,3564.0,82.0,2536.0,2111.0,2125.0,1912.0,1972.0,2226.0,3058.0,3534.0,2590.0,3741.0,914.0,0.13546690344810486,0.0,0.0,1024.0,2019-06-19T15:41:36,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,2656.0,80.0,2475.0,2051.0,2021.0,1781.0,1789.0,2167.0,2986.0,3472.0,2400.0,3640.0,632.0,0.14585819840431213,0.0,0.0,1024.0,2019-06-19T15:41:36,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1272.0,64.0,1726.0,1202.0,1031.0,888.0,832.0,1001.0,1477.0,1685.0,1565.0,1806.0,577.0,0.3057989180088043,0.0,0.0,0.0,2019-06-22T15:51:33,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1272.0,65.0,1713.0,1191.0,1028.0,883.0,823.0,990.0,1463.0,1662.0,1577.0,1771.0,608.0,0.3141666650772095,0.0,0.0,0.0,2019-06-22T15:51:33,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1435.0,24.0,3087.0,2513.0,1247.0,1229.0,1373.0,1538.0,1903.0,2155.0,2129.0,2357.0,716.0,0.21587663888931274,0.0,0.0,0.0,2019-06-24T15:41:41,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1431.0,24.0,3079.0,2511.0,1247.0,1219.0,1368.0,1537.0,1893.0,2135.0,2132.0,2334.0,729.0,0.2182857096195221,0.0,0.0,0.0,2019-06-24T15:41:41,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1282.0,17.0,2686.0,2142.0,1092.0,1092.0,1183.0,1336.0,1597.0,1803.0,1798.0,2059.0,572.0,0.2063066065311432,0.0,0.0,0.0,2019-06-27T15:51:38,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1275.0,16.0,2675.0,2135.0,1081.0,1086.0,1170.0,1327.0,1563.0,1800.0,1815.0,2045.0,597.0,0.21608039736747742,0.0,0.0,0.0,2019-06-27T15:51:38,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,4595.0,734.0,4161.0,3529.0,4730.0,4442.0,4576.0,4743.0,5412.0,5783.0,5683.0,5905.0,3135.0,0.10790525376796722,0.0,0.0,1024.0,2019-06-29T15:41:37,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,4849.0,768.0,4170.0,3549.0,4746.0,4450.0,4590.0,4755.0,5421.0,5799.0,5696.0,5931.0,3377.0,0.10752478986978531,0.0,0.0,1024.0,2019-06-29T15:41:37,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,6468.0,174.0,5774.0,4296.0,6673.0,6274.0,6494.0,6638.0,7243.0,7684.0,7386.0,7778.0,3564.0,0.06426513195037842,0.0,0.0,1024.0,2019-07-02T15:51:34,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,6481.0,141.0,5764.0,4300.0,6672.0,6294.0,6486.0,6637.0,7231.0,7679.0,7409.0,7766.0,3552.0,0.06642676889896393,0.0,0.0,1024.0,2019-07-02T15:51:34,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1578.0,128.0,2901.0,2220.0,1340.0,1283.0,1294.0,1530.0,2092.0,2487.0,2391.0,2739.0,666.0,0.2976933419704437,0.0,0.0,2048.0,2019-07-04T15:41:41,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1560.0,130.0,2892.0,2201.0,1324.0,1266.0,1270.0,1514.0,2094.0,2487.0,2382.0,2742.0,660.0,0.30449068546295166,0.0,0.0,2048.0,2019-07-04T15:41:41,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1206.0,10.0,1791.0,1191.0,938.0,812.0,729.0,903.0,1334.0,1557.0,1460.0,1645.0,413.0,0.3339424431324005,0.0,0.0,0.0,2019-07-07T15:51:38,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1182.0,10.0,1783.0,1171.0,933.0,794.0,704.0,880.0,1340.0,1564.0,1478.0,1642.0,396.0,0.35472044348716736,0.0,0.0,0.0,2019-07-07T15:51:38,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1426.0,46.0,3040.0,2367.0,1189.0,1192.0,1184.0,1536.0,2106.0,2374.0,2329.0,2620.0,966.0,0.32593226432800293,0.0,0.0,0.0,2019-07-09T15:41:37,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1385.0,45.0,3024.0,2344.0,1169.0,1167.0,1163.0,1518.0,2089.0,2363.0,2334.0,2612.0,993.0,0.3348584473133087,0.0,0.0,0.0,2019-07-09T15:41:37,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1379.0,11.0,1800.0,1013.0,1060.0,920.0,730.0,942.0,1628.0,1921.0,1781.0,2098.0,353.0,0.4185583293437958,0.0,0.0,0.0,2019-07-12T15:51:35,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1360.0,10.0,1798.0,1001.0,1053.0,917.0,731.0,927.0,1621.0,1927.0,1803.0,2105.0,367.0,0.4230465590953827,0.0,0.0,0.0,2019-07-12T15:51:35,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1406.0,13.0,2753.0,1842.0,1134.0,1095.0,944.0,1271.0,2117.0,2460.0,2580.0,2745.0,569.0,0.46424517035484314,0.0,0.0,0.0,2019-07-14T15:41:41,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1369.0,12.0,2762.0,1846.0,1099.0,1068.0,892.0,1264.0,2146.0,2523.0,2658.0,2818.0,567.0,0.49746477603912354,0.0,0.0,0.0,2019-07-14T15:41:41,"{""type"":""Point"",""coordinates"":[-71.8065,42.1218]}"
