system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,QA10,QA20,QA60,date,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,2072.0,677.0,2146.0,1522.0,1864.0,1758.0,1634.0,1895.0,2840.0,3327.0,3382.0,3590.0,1697.0,0.3484848439693451,0.0,0.0,2048.0,2018-06-09T15:38:11,"{""type"":""Point"",""coordinates"":[-71.8054,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,2083.0,684.0,2132.0,1497.0,1867.0,1757.0,1636.0,1888.0,2853.0,3333.0,3383.0,3600.0,1694.0,0.34807729721069336,0.0,0.0,2048.0,2018-06-09T15:38:11,"{""type"":""Point"",""coordinates"":[-71.8054,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1355.0,38.0,2914.0,2369.0,1203.0,1196.0,1333.0,1519.0,1922.0,2218.0,2158.0,2476.0,857.0,0.23632197082042694,0.0,0.0,0.0,2018-06-12T15:49:19,"{""type"":""Point"",""coordinates"":[-71.8054,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1369.0,38.0,2840.0,2272.0,1203.0,1198.0,1332.0,1481.0,1910.0,2216.0,2162.0,2489.0,843.0,0.23755007982254028,0.0,0.0,0.0,2018-06-12T15:49:19,"{""type"":""Point"",""coordinates"":[-71.8054,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,3700.0,78.0,4759.0,4036.0,3553.0,3380.0,3453.0,3724.0,4661.0,5214.0,5264.0,5566.0,2620.0,0.2077549546957016,0.0,0.0,0.0,2018-06-14T15:39:24,"{""type"":""Point"",""coordinates"":[-71.8054,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,3718.0,77.0,4758.0,4023.0,3550.0,3387.0,3468.0,3781.0,4781.0,5274.0,5266.0,5502.0,2625.0,0.2058621495962143,0.0,0.0,0.0,2018-06-14T15:39:24,"{""type"":""Point"",""coordinates"":[-71.8054,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1348.0,18.0,2997.0,2399.0,1208.0,1209.0,1373.0,1562.0,1962.0,2193.0,2126.0,2443.0,795.0,0.21520434319972992,0.0,0.0,0.0,2018-06-17T15:40:39,"{""type"":""Point"",""coordinates"":[-71.8054,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1352.0,19.0,2966.0,2383.0,1208.0,1209.0,1376.0,1561.0,1932.0,2159.0,2127.0,2446.0,775.0,0.2143876701593399,0.0,0.0,0.0,2018-06-17T15:40:39,"{""type"":""Point"",""coordinates"":[-71.8054,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1254.0,10.0,2314.0,1655.0,1014.0,938.0,967.0,1170.0,1517.0,1774.0,1767.0,1968.0,786.0,0.29261156916618347,0.0,0.0,0.0,2018-06-19T15:35:55,"{""type"":""Point"",""coordinates"":[-71.8054,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1265.0,10.0,2277.0,1604.0,1015.0,939.0,967.0,1140.0,1494.0,1786.0,1768.0,1974.0,730.0,0.2928701937198639,0.0,0.0,0.0,2018-06-19T15:35:55,"{""type"":""Point"",""coordinates"":[-71.8054,42.123]}"
